prompt,completion
Reed-sternberg cell,Tế bào reed-sternberg
Reference laboratory,Phòng thí nghiệm tham khảo
Reference standard,Tiêu chuẩn tham chiếu
Referred pain,Đau qui chiếu
Refractory,Kháng trị
Regurgitation,Dồn ngược
Relapsed infection,Nhiễm trùng tái phát
Relapsing course,Quá trình tái phát
Relative risk,Nguy cơ tương đối
Relaxation dysfunction,Rối loạn thư giãn
Remain infectious,Vẫn còn nhiễm trùng
Remote infection,Nhiễm trùng tiềm tàng
Renal,Thận
Renal calculi,Sỏi thận
Renal capsule,Vỏ thận
Renal failure,Suy thận
Renal impairment,Giảm chức năng thận
Renal medulla,Tủy thận
Renal transplantation,Ghép thận
Replication,Tái tạo
Repolarisation,Tái phân cực
Reported cases,Các ca được báo cáo
Reported to,Báo cáo cho
Reporting,Báo cáo
Rescue therapy,Liệu pháp cấp cứu
Researchers,Nhà nghiên cứu
Resection,Cắt bỏ
Residual immunity,Miễn dịch tồn dư
Resistance,Sự đề kháng
Resistance to antivirals,Đề kháng với thuốc kháng virus
Resistant,Đề kháng
Resolution,Giải pháp/tình trạng cải thiện
Respiratory depression,Suy hô hấp
Respiratory distress,Suy hô hấp
Respiratory distress syndrome,Hội chứng suy hô hấp
Respiratory infection,Viêm đường hô hấp
Respiratory passages,Đường hô hấp
Respiratory rate,Nhịp thở
Respiratory syncytial virus,Siêu vi hợp bào hô hấp
Respiratory tract,Đường hô hấp
Respiratory viruse,Vi-rút đường hô hấp
Response to therapy,Đáp ứng điều trị
Responsive to therapy,Đáp ứng điều trị
Restless legs syndrome,Hội chứng chân không yên
Restorative sleep,Giấc ngủ phục hồi
Restraint,Hạn chế
Reticulocyte,Hồng cấu lưới
Reticulocyte count,Số lượng hồng cầu lưới
Reticulonodular,Lưới nốt
Retinal haemorrhages,Xuất huyết võng mạc
Retroperitoneal structure,Cấu trúc sau phúc mạc
Retropharyngeal,Sau họng
Reuptake,Tái hấp thụ
Reversal of symptoms,Đảo ngược triệu chứng
Reverse transcriptase-polymerase chain reaction,Phản ứng chuỗi sao chép ngược
Reverse-transcriptase,Phiên mã ngược
Rhabdomyolysis,Tiêu cơ vân
Rheumatic fever,Sốt thấp khớp
Rheumatoid,Bệnh thấp khớp
Rheumatoid arthritis,Viêm khớp dạng thấp
Rheumatoid factor,Yếu tố dạng thấp
Rheumatoid factors (RF),Yếu tố thấp khớp
Rheumatological,(thuộc) khớp học
Rhinorrhoea,Sổ mũi
"Rhonchi, rales","Ran ngáy, tiếng ran"
Ribonucleotide reductase inhibitors,Chất ức chế ribonucleotide reductase
Rickettsial infection,Nhiễm trùng rickettsia
Right coronary artery (RCA),Động mạch vành phải
Right femoral artery,Động mạch đùi phải
Right hip,Khớp háng phải
Right upper quadrant (RUQ),Pain đau phần tư trên bên phải
Rigidity,Co cứng (nguồn: hinhanhykhoa.com)
Rigors,Rét run
Rise in titre,Tăng chuẩn độ
Risk factor,Yếu tố nguy cơ
Rna virus,Vi-rút rna
Rna-dependent polymerase,Polymerase phụ thuộc rna
Rodent,Động vật gặm nhấm
Roth’s spots,Điểm roth
Routine laboratory studies,Xét nghiệm thường qui
Routine vaccination,Tiêm chủng theo lịch
Rule out,Loại trừ
Rupture,Đứt
Ruptured ovarian cyst,U nang buồng trứng vỡ
Ruq,A xít amin có chuỗi nhánh
Rural areas,Vùng nông thôn
Salpingitis,Viêm vòi trứng
Sandfly,Ruồi cát
Sandfly fever,Sốt ruồi cát
Sanitation and hygiene,Vệ sinh
Sarcoidosis,Bệnh sarcoid
Saturation infection,Nhiễm trùng vết khâu da
Scalded skin syndrome,Hội chứng da tróc vảy
Scarlet fever,Bệnh tinh hồng nhiệt
Schatzki ring,Vòng schatzki
Schistosomiasis,Bệnh sán máng
Schizont,Thể liệt sinh
Scleritis,Viêm giác mạc
Scleroderma,Xơ cứng bì
"Scoliosis, curvature of the spine",Vẹo cột sống
Scrub typhus,Bệnh sốt mò
Scute coronary syndrome,Hội chứng mạch vành cấp
Second obtuse marginal,Nhánh bờ tù thứ hai
Secondary bacterial pneumonia,Viêm phổi do vi khuẩn thứ phát
Secondary care,Tuyến chăm sóc cấp 2
Secondary hyperparathyroidism,Tăng chức năng tuyến cận giáp thứ phát
Secondary to,Thứ phát
Secretion,Bài tiết
Sedation,An thần
Segmented,Phân đoạn
Seizure disorder,Rối loạn co giật
Seizures,Co giật
Selective oestrogen receptor modulator,Chất điều biến thụ thể oestrogen chọn lọc
Selective removal,Loại bỏ có chọn lọc
"Self-limited, self-limiting",Tự hạn chế
Senior doctor,Bác sĩ có kinh nghiệm
Sensitisation,Gây nhạy cảm
Sensitivity,Độ nhạy cảm
Sentinel loop,Quai ruột canh gác
Septic arthritis,Viêm khớp nhiễm khuẩn
Septic shock,Sốc nhiễm khuẩn
Septicaemia,Nhiễm trùng máu
Septicemic plague,Dịch hạch gây nhiễm trùng huyết
Septum,Vách ngăn
Sequelae,Di chứng
Sequencing,Lập trình tự
Seroconversion,Chuyển đảo huyết thanh
Seroconversion,Chuyển đảo huyết thanh
Serological,Huyết thanh
Serological testing,Xét nghiệm huyết thanh
Serology,Huyết thanh
Seropositive,Huyết thanh dương tính
Serosal,Thuộc serosa
Serosal membrane,Thanh mạc
Serum,Huyết thanh
Serum alkalinisation,Kiềm hóa huyết thanh
Serum autoantibodies,Tự kháng thể trong huyết thanh
Serum creatinine,Creatinine huyết thanh
Serum electrolytes,Chất điện giải trong huyết thanh
Serum electrophoresis,Điện di huyết thanh
Serum ferritin,Ferritin huyết thanh
Serum iron studies,Nghiên cứu sắt trong huyết thanh
Serum sickness,Bệnh huyết thanh
Serum transaminases elevation,Tăng transaminases trong huyết thanh
Severe,Nặng
Severe acute respiratory syndrome,Hội chứng hô hấp cấp nặng
Severe disease,Bệnh nặng
Severe obesity,Béo phì nặng
Severe pneumonia,Viêm phổi nặng
Severe sepsis,Nhiễm trùng huyết nặng
Severe weather events,Biến cố thời tiết bất lợi
Sexually transmitted diseases,Bệnh lây truyền qua đường tình dục
Sheath,Máng dụng cụ
Shingles,Bệnh zona
Short bowel syndrome,Hội chứng ruột ngắn
Short-acting bronchodilator,Thuốc giãn phế quản tác dụng ngắn
Short-interfering rna,Rna can thiệp ngắn
Shrunken kidneys,Teo thận
Shunt,Shunt
Shwachman-bodian-diamond syndrome (SBDS) gene,Gen hội chứng shwachman-bodiandiamond
Sick sinus syndrome,Suy nút xoang
Sickle cell,Hồng cầu lưỡi liềm
Sickle cell anaemia,Bệnh thiếu máu hồng cầu lưỡi liềm
"Sickle cell disease, sickle cell anaemia",Bệnh hồng cầu lưỡi liềm
Sickle cell vaso-occlusive crisis,Tắc mạch máu do bệnh hồng cầu lưỡi liềm
Side room,Phòng cách li
Sigmoid colon,Đại tràng sigma
Signs,Triệu chứng thực thể
Simple cyst,Nang đơn thuần
Single-stranded,Mạch đơn
Sinus,xoang
Sinusitis,Viêm xoang
Sinusoids,Võng huyết quản
Sjogren’s syndrome,Hội chứng sjogren
Skin,Da
Skin eruptions,Nổi mụn trên da
Sleep disorders,Rối loạn giấc ngủ
Sleep-breathing disorders,Rối loạn nhịp thở trong khi ngủ
Sleepiness,Buồn ngủ
Slight,Nhẹ
Slight reduced movement,Giảm động nhẹ
Slit-lamp,Đèn khè
Smear status,Trạng thái phiến đồ
Smoking,Hút thuốc
Smoking cessation,Cai thuốc
Smooth muscle,Cơ trơn
Sneezing,Hắt xì
Snorted,Nghẹt mũi
Sob,Khó thở
Sodium restriction,Hạn chế natri
Soft palate,Khẩu cái mềm
Soft tissue,Mô mềm
Soil,Đất
Solid tumour,Khối u rắn
Solid-phase gastric emptying,Xét nghiệm làm rỗng dạ dày với thức ăn dạng rắn
Soluble transferrin receptor,Thụ thể transferrin có thể hòa tan
Sore throat,Đau họng
Source case,Ca bệnh gốc
Source patient,Bệnh nhân nguồn
Southern blot analysis,Phân tích bằng thẩm tích southern
Space-occupying lesion,Tổn thương khối choáng chỗ
Specimen,Bệnh phẩm
Sperm count,Số lượng tinh trùng
Spermatic cord,Thừng tinh
Sphenoid sinus,Xoang bướm
Spherule,Hình cầu nhỏ
Sphincterotomy,Cắt cơ vòng
Spider angioma,Sao mạch
Spider naevi,Sao mạch
Spinal disc space narrowing,Hẹp khoảng đĩa đệm
Spinal kyphosis,Gù vẹo cột sống
Spirometry,Phế dung kế
Spleen,Lách
Splenic vein,Tĩnh mạch lách
Splenomegaly,Lách to
Splinter haemorrhages,Xuất huyết mảnh vụn
Split thickness skin grafting,Kỹ thuật ghép da dày toàn bộ
Spontaneous,Nguyên phát
Spontaneous pneumothorax,Tràn khí màng phổi nguyên phát
Spore-like,Giống bào tử
Spores,Bào tử
Sprain,Bong gân
Sputum,Đờm
Sputum culture,Nuôi cấy đờm
Squamous cell carcinoma,Ung thư biểu mô tế bào vảy
ST depression,ST thấp
ST depression,ST chênh xuống
Staphylococcal infections,Nhiễm trùng do tụ cầu
Staphylococcal scalded skin syndrome,Hội chứng bong vảy da do tụ cầu
Statement,Bản tường trình
Status epilepticus,Trạng thái động kinh liên tục
Steatorrhoea,Tiêu phân mỡ
Stem cells,Tế bào gốc
Stenosis,Hẹp
Sternum,Xương ức
Stevens-Johnson syndrome,Hội chứng Stevens-Johnson
Stiff neck,Cứng gáy
Stiffness,"Cứng, chắc"
Still’s diseas,Bệnh Still
Stomatitis,Viêm dạ dày
Stone removal,Lấy sỏi
Stool,Phân
Strain,Biến dạng/ căng/ mỏi
Streaky,Densities đám mờ
Streptococcus,Liên cầu khuẩn
Striated muscle disorder,Rối loạn cơ vân
Stricture,Chít hẹp
Stroke,"Đột quỵ não, tai biến mạch máu não"
Structural,Cấu trúc
Structural urinary tract abnormalities,Bất thường cấu trúc đường tiết niệu
Subacute,Bán cấp
Subarachnoid haemorrhage,Xuất huyết dưới nhện
Subchondral bone sclerosis,Xơ xương dưới sụn
Subclavian,Dưới đòn
Subcutaneous emphysema,Tràn khí dưới da
Sub-diaphragmatic air,Liềm hơi dưới cơ hoành
Subdural haematoma,Tụ máu dưới màng cứng
Submandibular region,Vùng dưới hàm
Substance use disorders,Rối loạn sử dụng dược chất
Suction bulb,Bầu hút
Suggest,Gợi ý
Suggestive symptoms,Triệu chứng gợi ý
Sulfa-containing,Có chứa sulfa
Superimposed injury,Thương tích chồng chéo
Superinfection,Bội nhiễm
Superior hepatic vein,Tĩnh mạch trên gan
Superior turbinate,Cuốn mũi trên
Superior vena cava,Tĩnh mạch chi trên
Supportive,Nâng đỡ/ hỗ trợ
Supportive care,Chăm sóc nâng đỡ
Supportive treatment,Điều trị nâng đỡ / điều trị hỗ trợ
Suprainfection,Bội nhiễm
Suprarenal gland holes on both sides,Hố thượng thận hai bên
Supratentorial structure,Cấu trúc tầng trên lều
Surface antigen,Kháng nguyên bề mặt
Surgery,Phẫu thuật
Surgery assistant,Giúp việc cột
Survival,Sống sót
Susceptibility,Độ nhạy cảm
Susceptible to,Nhạy cảm với
Suspected case,Ca bệnh nghi ngờ
Sustained virological response,Đáp ứng vi-rút bền vững
Swabs,Bông gạc
Sweating,Đổ mồ hôi
Sweats,Mồ hôi
Swelling,Sưng
Sydenham’s chorea,Chứng múa giật sydenham
Symptomatic,Có triệu chứng
Symptomatic icteric hepatitis,Viêm gan vàng da có triệu chứng
Symptoms,Triệu chứng cơ năng
Syncope,Bất tỉnh
Syndrome,Hội chứng (nguồn: hinhanhykhoa.com)
Synovial fluid,Dịch khớp
Synovitis,Viêm màng hoạt dịch
Systematic review,Nghiên cứu tổng quát/ kiểm tra toàn thân
Systemic exertion intolerance disease,Bệnh không dung nạp gắng sức toàn thân
Systemic inflammatory response syndrome,Hội chứng đáp ứng viêm hệ thống
Systemic lupus erythematosus,Luspus ban đỏ hệ thống
Systolic,Thuộc tâm thu
Systolic BP,Huyết áp tâm thu
Systolic ejection murmur,Tiếng thổi tâm thu
Table,Bảng
Tachyarrhythmia,Loạn nhịp nhanh
Tachycardia,Nhịp tim nhanh
Tachydysrhythmia,Loạn nhịp nhanh
Tachypnoea,Thở nhanh
Taxonomy,Phân loài
Teenager,Thiếu niên
Telangiectasia,Búi giãn tĩnh mạch
Temporomandibular joint (TMJ),Khớp thái dương hàm
Temporomandibular joint syndrome (TMJS),Hội chứng khớp thái dương hàm
Tender lymph nodes,Hạch bạch huyết mềm/ đau
Tenderness,Nhạy cảm
Tenosynovitis,Viêm màng bao gân
Tension headache,Nhức đầu căng cơ
Tertiary care,Tuyến chăm sóc cấp 3
Tetracycline antibiotics,Thuốc kháng sinh tetracycline
Thalassaemia,Thiếu máu huyết tán
The national vaccine adverse event reporting system,Hệ thống ghi nhận tác dụng phụ của vắcxin trung ương
Therapeutic,Trị liệu
Therapeutic trial,Thử nghiệm trị liệu
Thermally nhiệt,Thick-walled thành dày
Thoracentesis,Chọc dò màng phổi
Thoracic outlet syndrome,Hội chứng lối thoát ngực
Thready pulse,Mạch nhanh/nhỏ/khó bắt
Thrills,Rùng mình
Throat,Họng
Throat pain,Đau họng
Throat swabs,Lấy dịch họng
Thrombocytopenia,Giảm tiểu cầu
Thrombocytosis,Huyết khối do tăng tiểu cầu
Thrombosis,Nghẽn mạch
Thrombotic thrombocytopenic purpura (TTP),Ban xuất huyết giảm tiểu cầu
Thrush,Bệnh nấm candida
Thymoma,U tuyến ức
Thyroid gland,Tuyến giáp
Thyroid storm,Bão giáp
Thyroid tumour,Khối u tuyến giáp
Tick,Gõ
Tick bite,Vết cắn ngứa
Tickborne,Do ve
Tissue perfusion,Tưới máu mô
Tissues,Mô
Titre,Chuẩn độ
T-lymphocyte,Tế bào bạch huyết T
To develop syncope,Bị bất tỉnh
Toddler,Trẻ tập đi
Tonsilloadenoidectomy,Cắt amidan và nạo VA
Tonsils,A-mi-đan
Topical,Bôi trên da
Topographical disorientation,Thần kinh định vị
Total blood volume,Tổng thể tích tuần hoàn
Toxaemia,Ngộ độc máu
Toxic epidermal necrolysis,Hoại tử biểu bì nhiễm độc
Toxic megacolon,Phình đại tràng nhiễm độc
Toxidrome,Hội chứng ngộ độc
Toxoplasmosis,Bệnh toxoplasma
Trachea,Khí quản
Tracheal intubation,Đặt nội khí quản
Tracheobronchial,Khí phế quản
Tracheostomy,Mở khí quản
Traditional healer,Lang y
Trans-abdominal ultrasound,Siêu âm qua bụng
Transbronchial,Thuộc khí phế quản/ thuộc đường thở lớn
Transbronchial needle aspiration biopsy transfemoral,Sinh thiết kim nhỏ qua thành khí phế quản
Transforming growth factor-beta (TGF-beta),Nhân tố sinh trưởng chuyển hóa beta (TGF-beta)
Transfusion,Truyền dịch
Transient fungaemia,Nhiễm nấm huyết thoáng qua
Transient,Thoáng qua
Transillumination,Phương pháp chiếu sáng qua mô
Transjugular,Qua tĩnh mạch cảnh
Transjugular intrahepatic portosystemic shunts,Tạo đường thông cửa chủ trong gan qua tĩnh mạch cảnh
Transmission electron microscopy,Kính hiển vi điện tử truyền qua
Transoesophageal,Qua thực quản
Transport medium,Môi trường vận chuyển
Transthoracic,Qua thành ngực
Transverse colon,Đại tràng ngang
Transverse diameter of the platelets,đường kính ngang tiểu não
Transverse myelitis,Viêm tủy ngang
Tranverse colon,Đại tràng ngang
Trauma,Chấn thương
Treatment line,Tuyến điều trị
Treatment modalities,Thể thức điều trị
Treatment options,Lựa chọn điều trị
Tremor,Run cơ
Trexler isolator,Lều cách ly trexler
Trichuriasis,Bệnh giun tóc
Tricuspid annulus (TA),Vòng 3 lá
Tricyclic antidepressants,Thuốc chống trầm cảm ba vòng
Tridermic,Ba lá phôi
Trigeminal myalgia,Chứng đau dây thần kinh sinh ba
Trimester,Ba tháng
Trophoblastic disease,Bệnh lý tế bào nuôi
Trophozoite,Thể tư dưỡng
Tropical infection,Bệnh nhiễm trùng nhiệt đới
Truncal venous collaterals,Nhánh tĩnh mạch bàng hệ
TST (tuberculin skin test conversion),TST (biến đổi thử nghiệm tuberculin trên da)
Tuberculin skin test,Test lao lẩy da
Tuberculosis (TB),Bệnh lao
Tularaemia,Bệnh tularaemia
Tumour,Khối u
Tumour marker,Chất chỉ điểm khối u
Tumour necrosis factor,Yếu tố hoại tử khối u
T-wave inversion,Sóng t đảo ngược
Twice daily,Hai lần mỗi ngày
Two cerebral hemispheres,Hai bán cầu đại não
Two-branch coronary artery disease,Bệnh hai nhánh mạch vành
Type 1 glycogen storage disease,Bệnh dự trữ glycogen loại 1
Typhoid,Thương hàn
Typhoid fever,Sốt thương hàn
Ulcer,Loét
Ulcerative,Dạng loét
Ulcerative colitis,Viêm loét đại tràng
Ulcerative colitis,Loét đại tràng
Ulcerative stomatitis,Viêm loét miệng
Ulceroglandular,Thể loét da
Ulcers,Loét
Ultrasound,Siêu âm
Umbilical hernia,Thoát vị rốn
Uncalcified,Không vôi hóa
Uncinate process,Mỏm tụy
Uncinate process,Mỏm móc
Uncomplicated,Không biến chứng
Unconsciousness,Tình trạng bất tỉnh
Under reported,Báo cáo chưa đầy đủ
Underlying cause,Nguyên nhân tiềm ẩn
Underlying disease,Bệnh nền
Unfractionated heparin,Heparin chưa phân đoạn
Unprotected intercourse,Giao hợp không bảo vệ
Unstable angina,Đau thắt ngực không ổn định
Unstable angina,Cơn đau thắt ngực không ổn định
Upper GI,Đường tiêu hóa trên
Upper GI bleed,Chảy máu đường tiêu hóa trên
Upper respiratory tracts,Đường hô hấp trên
Uptake,Hấp thụ
Uraemia,Urê huyết
Urea,Urê
Urethral catheterisation,Đặt sonde tiểu
Urethritis,Viêm niệu đạo
Urgent malaria film,Tiêu bản máu đàn cấp để chẩn đoán sốt rét
Uric acid,Axit uric
Urinary casts,Trụ niệu
Urinary hesitancy,Tiểu lắt nhắt
Urinary tract infection,Nhiễm trùng đường tiểu
Urinary tract infections,Nhiễm trùng đường tiết niệu
Urination,Đi tiểu
Urine dipstick analysis,Phân tích nước tiểu bằng que thử
Urticaria,Nổi mề đay
Urushiol,Tinh dầu urushiol
Uterosacral ligament,Dây chằng tử cung-cùng
Uveitis,Viêm màng bồ đào
V/q scan,Chụp xạ hình phổi
Vaccination,Tiêm vắc-xin
Vaccine,Vắc-xin
Vaccine trial,Thử nghiệm vắc-xin
Vaginal discharge,Khí hư âm đạo
Vague symptoms,Triệu chứng mơ hồ
Valproate sodium,Valproate sodium
Vanillylmandelic acid,Axit vanillylmandelic
Variola major,Đậu mùa thể nặng
Variola minor,Đậu mùa thể nhẹ
Vascath,Catheter tĩnh mạch
Vascular access,Tiếp cận mạch máu
Vascularity,Mạch máu nổi
Vasculitis,Viêm mạch
Vasodilatation,Sự giãn mạch
Vasopressor,Thuốc co mạch
Vasostimulation,Vận mạch
Vector,Véc-tơ
Velocity time integral (VTI),Tích phân vận tốc thời gian (VTI)
Venous doppler,Doppler tĩnh mạch
Venous outflow obstruction,Tắc dòng tĩnh mạch ra
Venous return,Hồi lưu tĩnh mạch
Venous thrombosis,Chứng huyết khối tĩnh mạch
Ventilation-perfusion scan,Thăm dò thông khí-tưới máu
Ventilator support,Thở máy hỗ trợ
Ventilator-associated pneumonia (VAP),Viêm phổi liên quan tới máy thở (VAP)
Ventral tongue,Bụng lưỡi
Ventrical septal,Vách liên thất
Ventricles,Não thất
Ventricular dysrhythmia,Loạn nhịp thất
"Ventricular extrasystole, premature ventricular contraction",Ngoại tâm thu thất
Ventricular system,Hệ thống não thất
Vesicles,Mụn nước
Vesico-ureteric reflux,Trào ngược bàng quang-niệu quản
Vesicular,Rộp nước
Vestibular fold,Băng thanh thất / nếp tiền đình
Vigorous exercise,Tập luyện nặng
Viraemic,(thuộc) nhiễm vi rút huyết
Viral cultures,Nuôi cấy vi-rút
Viral gastroenteritis,Viêm dạ dày-ruột do vi-rút
Viral hepatitis,Viêm gan vi-rút
Viral particles,Phần tử vi-rút
Virological,Vi-rút học
Virological response,Đáp ứng vi-rút
Virulence,Độc lực
Virus,Vi-rút
Virus amplification,Khuếch đại vi-rút
Visceral metastatic lesions,Các tổn thương di căn nội tạng
Visual loss,Mất thị lực
Vitiligo,Bạch biến
Vocal cord paralysis,Liệt dây thanh âm
Vocal fold dây,Thanh âm
Volume depletion,Thiếu dịch
Volume resuscitation,Hồi sức thể tích
"Vomiting, emesis",Nôn
Ward round,Đi buồng
Watchful waiting,Chờ đợi theo dõi
WBC count,Số lượng bạch cầu
Weakness,Ốm yếu
Wedge pressure,Áp lực bít
Weight loss,Giảm cân
West nile virus,Vi-rút tây sông nile
Wheezing,Thở khò khè
When necessary,Khi cần thiết
Whiplash,Căng giãn quá mức cột sống cổ
Whipworm,Giun tóc
White blood cells (WBC),Tế bào bạch cầu (WBC)
White matter in two cerebral hemispheres,Chất trắng ở hai bán cầu
Whole blood,Máu toàn phần
Whole-body,Toàn thân
Widal test,Thử nghiệm widal
With balloon,Bóp bóng
With high or intermediate hepatitis a endemicity,Có dịch tễ viêm gan a mức độ cao hoặc trung bình
With severe infection,Bị nhiễm trùng nặng
Women’s health initiative (WHI),Chương trình hành động vì sức khỏe phụ nữ
Workup,Xét nghiệm (trong một tình huống nào đó)
World health organization (WHO),Tổ chức y tế thế giới
Wright stain,Nhuộm wright
Xanthelasma,U vàng mí mắt
Yeasts,Men
Yellow fever,Bệnh sốt vàng da
Yersinia pestis,Vi khuẩn Yersinia pestis
Young children,Trẻ nhỏ
Zenker’s diverticulum,Túi thừa Zenker/túi thừa hầu họng
Zika virus infection,Nhiễm vi-rút Zika
Zoonotic,Động vật truyền sang người
Active transport,Vận chuyển chủ động
Alga,Tảo
Allele,Alen
Anaphase,Kì sau
Antibody,Kháng thể
Antigen,Kháng nguyên
Ariance,Phương sai
Artery,Động mạch
Artificial selection,Chọn lọc nhân tạo
Asexual reproduction,Sinh sản vô tính
Atrium,Tâm nhĩ
Back cross,Lai phân tích
Bacterium,Vi khuẩn
Biodiversity,Đa dạng sinh học
Brain,Não
Cancer,Bệnh ung thư
Cell,Tế bào
Cell division,Phân chia tế bào
Cell wall,Vách tế bào
Central vacuole,Không bào trung tâm
Centriole,Trung tử
Centromere,Tâm động
Chloroplast,Lục lạp
Chromosome,Nhiễm sắc thể
Chromosome mutation,Đột biến nhiễm sắc thể
Circulation system,Hệ tuần hoàn
Commensalism,Hội sinh
Community,Quần xã
Complementary gene,Gen hoạt động bổ sung
Complete dominance,Tính trội hoàn toàn
Cross,Lai
Crossing over,Trao đổi chéo
Cytoplasm,Nguyên sinh chất
Cytoskeleton,Bộ xương tế bào
Daughter cells,Tế bào chị em (kết quả của nguyên phân)
Differentiation,Biệt hóa
Digestive system,Hệ tiêu hóa
Diploid cell,Tế bào lưỡng bội
Diversity,Đa dạng
DNA replication,Tái bản ADN
Dominant trait,Tính trạng trội
Duodenum,Tá tràng
Ecological niche,Ổ sinh thái
Ecology,Sinh thái học
Ecosystem,Hệ sinh thái
Embryo,Phôi
Embryo sac,Túi phôi
Endoplasmic reticulum,Lưới nội chất
Epithelium,Biểu mô
Exon,Vùng mã hóa
Extinction,Tuyệt chủng
Facilitated diffusion,Khuếch tán được làm dễ
Fertilization,Thụ tinh
Food chain,Chuỗi thức ăn
Food web,Lưới thức ăn
Functional unit,Đơn vị chức năng
Gamete,Giao tử
Gene,Gen
Gene expression,Biểu hiện gen
Gene frequency,Tần suất gen
Gene mutation,Đột biến gen
General combining ability,Khả năng phối hợp chung
Genetic advance,Hiệu quả chọn lọc đối với một tính trạng hay nhiều tính trạng
Genetic constitution,Nền tảng di truyền
Genetic material,Vật chất di truyền
Golgi body,Bộ máy Golgi
Haploid cell,Tế bào đơn bội
Heterotrophic organism,Sinh vật dị dưỡng
Heterozygote,Dị hợp tử
Homologous chromosomes,Nhiễm sắc thể tương đồng
Homozygote,Đồng hợp tử
Hybrid,Con lai
Ileum,Hồi tràng
Immunity system,Hệ miễn dịch
Inbred line,Dòng cận giao, đồng huyết
Inbreeding,Tạo dòng cận giao, dòng đồng hợp tử
Incomplete dominance,Trội không hoàn toàn
Interallelic interaction,Tương tác giữa các alen
Intermediate heterozygote,Dị hợp tử trung gian
Interphase,Kì trung gian
Intron,Vùng không mã hóa
Invertebrate,Động vật không xương sống
Isogenic line,Dòng đẳng gen
Large intestine,Ruột già
Lysosome,lyzôxôm (tiêu thể)
Macroevolution,Tiến hóa lớn
Macromolecule,Đại phân tử
Mammalian,Động vật hữu nhũ
Marrow cell,Tế bào tủy xương
Mean,Giá trị trung bình
Mitosis,Nguyên phân
Mendelian law,Định luật Mendel
Meristem,Mô phân sinh
Messenger RNA,Marn (ARN thông tin)
Metabolism,Sự trao đổi chất
Metaphase,Kì giữa
Microevolution,Tiến hóa nhỏ
Mitochondrion,Ti thể
Mitosis,Nguyên phân
Molecule,Phân tử
Multiple allele,Đa alen
Mutation,Đột biến gen
Mutualism,Thuyết hỗ sinh
Natural selection,Chọn lọc tự nhiên
Nervous system,Hệ thần kinh
Neuron,Tế bào thần kinh
Neutral character,Tính trạng trung tính
Non-allelic interaction,Tương tác không alen
Non-selective inbreeding,Cận giao không có tính chất chọn lọc
Nuclear envelope,Màng nhân
Nucleic acid,Acid nucleic
Nucleotide,nu-clê-ô-tit (một hợp chất hóa học gồm có 3 phần chính: một nhóm heterocyclic, nhóm đường, và một hay nhiều nhóm phosphate.)
Nucleus,Nhân
Oncogene,Gen tiền ung thư
Organ,Cơ quan
Organ system,Hệ cơ quan
Organelle,Bào quan
Osmosis,Thẩm thấu
Pancreas,Tuyến tụy
Panmixia,Ngẫu phối
Panmixia,Quần thể giao phối ngẫu nhiên
Partial dominance,Tính trội từng phần, không hoàn toàn
Partial dominance,Tính trội từng phần, không hoàn toàn
Passive transport,Vận chuyển bị động
Path analysis,Phân tích theo đường dẫn
Pedigree,Gia phả, phả hệ, phương pháp chọn giống theo gia phả
Phloem,Mạch rây
Photoautotrophic organism,Sinh vật tự dưỡng
Photosynthesis,Quang hợp
Plasma membrane,Màng tế bào
Pleiotropy,Xem đa tính trạng
Pollen grain,Hạt phấn
Pollination,Thụ phấn
Polygenes,Đa gen
Polymorphism,Xem đa hình
Population,Quần thể
Primary consumer,Sinh vật tiêu thụ sơ cấp
Primary producer,Sinh vật sản xuất sơ cấp
Prophase,Kì đầu
Protist,Nguyên sinh vật
Random drift,Chuyển dịch ngẫu nhiên
Random mating,Giao phối ngẫu nhiên
Random model,Mô hình ngẫu nhiên
Random selection,Chọn lọc ngẫu nhiên
Receptor,Thụ quan
Recessive epistasis,Hiện tượng epistasis có tính lặn
Recessive trait,Tính trạng lặn
Reciprocal cross,Lai đảo, lai thuận nghịch
Recombinant DNA,ADN tái tổ hợp
Recombinant DNA technology,Công nghệ ADN tái tổ hợp
Recombination,Hiện tượng tái tổ hợp
Regulation gene,Gen điều hòa
Reproduction,Sinh sản
Reproductive system,Hệ sinh sản
Reproductive cell,Tế bào sinh sản
Reproductive isolation,Cách li sinh sản
Respiration system,Hệ hô hấp
Restriction enzymes (RE),Enzym giới hạn
Ribosome,Ribosom
Ribosomal RNA,Rarn (ARN riboxom)
Rough endoplasmic reticulum,Lưới nội chất nhám
Salivary glands,Tuyến nước bọt
Secondary consumer,Sinh vật tiêu thụ thứ cấp
Secondary structure,Cấu trúc  bậc hai, cấu trúc thứ cấp
Secretion system,Hệ bài tiết
Seed pathology,Bệnh lý hạt giống
Seed physiology,Sinh lý hạt giống
Seed technology,Công nghệ hạt giống
Segregation law,Định luật phân li
Selection index,Chỉ số chọn lọc
Selection intensity,Cường độ chọn lọc
Selection pressure,Áp lực chọn lọc
Semi conservative replication,Nhân đôi theo cơ chế bán bảo tồn
Sex chromosome,Nhiễm sắc thể giới tính
Sex linkage,Liên kết giới tính
Sexual reproduction,Sinh sản hữu tính
Small intestine,Ruột non
Smooth endoplasmic reticulum,Lưới nội chất trơn
Somatic cell,Tế bào sinh dưỡng
Specialization,Biệt hóa
Species,Loài
